Reference in main table, Cite, doi
McKellar Chatterton 2009, McKellar R.C. Chatterton B.D.E. (2009). Early Middle Devonian Phacopidae (Trilobita) of southern Morocco. Palaeontographica Canadiana No. 28 111 pp, 
Mergl Jimenez Sanchez 2015, Mergl M. Jiménez-S nchez A. 2015. Lingulate brachiopods from the Suchomasty Limestone (upper Emsian) of the Barrandian Czech Republic. Bulletin of Geosciences 90(1) 173-193, https://doi.org/10.3140/bull.geosci.1533
Meroi 2016 (PhD Thesis), Meroi Arcerito F.R. (2016) Asaphid trilobites from the Early Ordovician in the Cordillera Oriental Argentina. Systematic distribution diversification. PhD Thesis. Universidad Nacional de Córdoba. 343 pp, 
Mitchell 1919, Mitchell J. (1919). On two new trilobites from Bowning. Proceedings of the Linnean Society of New South Wales 44 441-449, 
Mohan 2013, Mohan J. (2013). A paleoenvironmental analysis of the middle Devonian Gravel Point Formation Western Michigan. The professional Geologist 50(6) 11-16, 
Monti 2015 (PhD Thesis), Monti S.D. (2015). Trilobites del Cámbrico Tardio-Ordovicico temprano de la Cordillera Oriental Argentina. Revisión sistemática y análisis filogenético de la Familia Olenidae. Biblioteca Digital FCEN-UBA PhD Thesis 235 pp, http://hdl.handle.net/20.500.12110/tesis_n5696_Monti
Moore et.al. 1944, Moore R. C. Frye J. C. and Jewett J. M. (1944). Tabular description of out-cropping rocks in Kansas. Kansas State Geol. Survey Bull. 52, pt. 4, p. 137-212, https://www.kgs.ku.edu/Publications/Bulletins/52_4/
Monti 2017, Monti S.D. (2017). Morphometrics of Leptoplastides marianus (Hoek) (Trilobita Olenidae) from the Tremadocian of north-western Argentina: taxonomic implications Journal of Systematic Palaeontology 16(3) 179-997, https://doi.org/10.1080/14772019.2017.1282992
Morzadec 1983, Morzadec P. (1983) Trilobites du Dévonien (Emsien?Famennien) de la rade de Brest (Massif Armoricain). Palaeontographica Abteilung A 181 103-184, 
Morzadec 2001, Morzadec P.R. (2001) LesTrilobites Asteropyginae du Dévonien de l? Anti-Atlas (Maroc). Palaeontographica 262 53-85, https://doi.org/10.1127/pala/262/2001/53
Muller 2000, Muller P. (2000). Die Trilobiten des belgischen Kohlenkalkes (Unter-Karbon). Geologica et Palaeontologica 34 89-109, 
O'Neill et al. 2002, OïNeill. J.M. (2002). Geologic Investigations in the Lake Valley Area Sierra County New Mexico. U.S. Geological Survey Professional Paper 1644 78 pp., 
Ormiston 1975, Ormiston A.R. (1975). Siegenian trilobite zoogeography in Arctic North America. Fossils Strata 4 39 1-398, https://doi.org/10.18261/8200049639-1975-25
Ormiston 1976, Ormiston A.R. (1976). New Middle Devonian Trilobites from Northwestern Canada. Journal of Paleontology 50(6) 1162-1174, https://www.jstor.org/stable/1303557
Osmolska 1968, Osmólska H. (1968). Contributions to the Lower Carboniferous Cyrtosymbolinae (Trilobita). Acta Palaeontologica Polonica 13 119-150, 
Owens 1973, Owens R.M. (1973). British Ordovician Silurian Proetidae (Trilobita). Monographs of the Palaeontographical Society, 
Owens 1994, Owens R.M. (1994) Pseudoextinctions in late Devonian proetide trilobites. Historical Biology: An International Journal of Paleobiology 9(3) 207-221, https://doi.org/10.1080/10292389409380498
Owens et al. 2010, Owens R.M. Ivanova O. Kim I. Popov L.E. Feist R. (2010) Lower Middle Devonian trilobites from southern Uzbekistan. Memoirs of the Association of Australasian Palaeontologists 39 211-244, ISSN 0810-8889
Pour et al. 2018, Pour M.G. Popov L.E. Omrani M. Omrani H. (2018). The latest Devonian (Famennian) phacopid trilobite Omegops from eastern Alborz Iran. Estonian Journal of Earth Sciences 67 192-204, https://doi.org/10.3176/earth.2018.16
Pour et al. 2019, Pour M.G. Popov L.E. Owens R.M. Vinogradova E.A. Klishevich I.A. (2019). Early Devonian (Lochkovian) trilobites brachiopods from the west Balkhash Region Kazakhstan their significance for regional terrane dynamics. Geobios 56 49-64,  https://doi.org/10.1016/j.geobios.2019.07.004
Ramsköld 1984, Ramsköld L. (1984) Silurian odontopleurid trilobites from Gotland. Palaeontology 27(2) 239-264, 
Ramsköld 1991, Ramsköld L. (1991). The perforated trilobite Laethoprusia gen. nov. the phylogeny of Koneprusia Isoprusia (Odontopleuridae Koneprusiinae). Transactions of the Royal Society of Edinburgh: Earth Sciences 82 125-141, https://doi.org/10.1017/S0263593300007604
Rustan Balseiro 2016, Rustan J.J. Balseiro D. (2016). The phacopid trilobite Echidnops taphomimus n. sp. from the Lower Devonian of Argentina: insights into infaunal molting eye architecture and geographic distribution. Journal of Paleontology 90 1100-1111, https://doi.org/10.1017/jpa.2016.108 
Rustan Vaccari 2012, Rustan J.J. Vaccari E.N. (2012). A revision of the Devonian Malvinokaffric dalmanitid trilobite Dalmanitoides Delo 1935 on the basis of new data from Argentina. Palaeontologia Electronica 15(1) 1 - 21, https://doi.org/10.26879/276
Sandford 2000, Sandford A.C. (2000). Trilobite faunas and palaeoenvironmental setting of the Silurian (early Ludlow) Melbourne Formation central Victoria. Alcheringa 24 153-206, https://doi.org/10.1080/03115510008619207 
Sandford 2003, Sandford A.C. (2003). A revision of Nephranomma Erben 1952 (Trilobita Phacopidae) with new species from the Early Devonian of Victoria Australia. Phacopidae of Victoria Part 2. Special Papers in Palaeontology 70 309-329, 
Saul 1967, Saul J.M. (1967). Burmeisteria (Digonus) accraensis a New Homalonotid Trilobite from the Devonian of Ghana. Journal of Paleontology 41 1126-1136, https://www.jstor.org/stable/1302083
Shergold 1971, Shergold J. H. (1971). Resume of data on the base of the Ordovician in central northern Australia. In Colloque ordovicien-silurien Brest Septembre 1971. BRGM Mem. 73 391-402, 
Snajdr 1960, Snajdr M. (1960). Studie o celedi Scutelluidae (Trilobitae). Rozpravy Ústredního ústavu geologického 26 11-221, 
Snajdr 1980, Snajdr M. (1980). Bohemian Silurian Devonian Proetidae (Trilobita). Rozpravy Ústředního ústavu geologického 45 1-324, 
Snajdr et al. 1990, Snajdr M. (1990). Bohemian Trilobites. Geological Survey Prague Octavo pp. 265, 
Struve 1970, Struve W. (1970). Beiträge zur Kenntnis der Phacopina (Trilobita) 7: Phacops-Arten aus dem Rheinischen Devon. 1. Senckenbergiana lethaea 51 133-189, 
Struve 1995, Struve W. (1995). Beiträge zur Kenntnis der Phacopina (Trilobita) 18: Die RiesenPhacopiden aus dem Maider SE-marokkanische Prä-Sahara. Senckenbergiana lethaea 75 77-130, 
Stumm 1953, Stummn E.C. (1953). Trilobites of the Devonian traverse group of Michigan. Contributions from the Museum of Paleontology X(6) 101-157, 
Stumm 1954, Stummn E.C. (1954). Lower Middle Devonian Phacopid Trilobites from Michigan Southwestern Ontario the Ohio Valley. Contributions from the Museum of Paleontology XI(11) 201-221, 
Taghon et al. 2012, Taghon P. Bonino E. Mottequin B. (2012). A new representative of the lichid genus Ohleum (Trilobita) from the Eifelian (Middle Devonian) of southern Belgium. Geologica Belgica 15 120-125, 
Talent et al. 1999, Talent J. A. Gaetani M. Mawson R. Molloy P.D. Conaghan P.J. Early Ordovician Devonian conodonts from the western Karakoram Hindu Kush northernmost Pakistan. Rivisita Italiana di Paleontologia e Stratigrafia. 105(2):201-229, http://hdl.handle.net/102.100.100/214774
Tortello 1999, Tortello F. M. (1999). El género Psilocara Fortey (Trilobita Olenidae) en la Formación Parcha (Ordovicico Temprano) Salta Argentina. Ameghiniana 36(3) 339-343, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/2495
Tortello Esteban 2003, Tortello M. F. Esteban S. B. (2003). Trilobites del C mbrico Tardio de la Formación Lampazar (sierra de Cajas Jujuy Argentina). Implicancias bioestratigráficas y paleoambientales. Ameghiniana 40(3) 32-344, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/963
